date,open,high,low,close,volume
2021-06-28 23:00:00+00:00,34408.41,34490.07,34102.0,34487.22,16031.25
2021-06-29 00:00:00+00:00,34486.58,35178.0,34362.55,34901.0,40511.651
2021-06-29 01:00:00+00:00,34901.0,35000.0,34517.21,34622.91,24959.479
2021-06-29 02:00:00+00:00,34622.92,34836.14,34245.0,34306.78,25493.494
2021-06-29 03:00:00+00:00,34306.77,34631.37,34206.0,34564.83,18568.596
2021-06-29 04:00:00+00:00,34564.84,34978.0,34523.5,34853.23,27691.048
2021-06-29 05:00:00+00:00,34853.23,34999.0,34533.64,34700.29,24392.841
2021-06-29 06:00:00+00:00,34699.91,35405.58,34566.0,35330.0,44109.158
2021-06-29 07:00:00+00:00,35330.0,35450.0,34750.0,34841.15,44299.158
2021-06-29 08:00:00+00:00,34841.15,35248.0,34711.72,35042.01,41683.291
2021-06-29 09:00:00+00:00,35042.01,35347.6,34850.0,35213.34,38184.048
2021-06-29 10:00:00+00:00,35213.35,35760.0,35040.0,35619.59,51125.758
2021-06-29 11:00:00+00:00,35618.93,35746.0,35468.0,35544.42,31255.665
2021-06-29 12:00:00+00:00,35544.42,35978.0,35320.0,35788.34,65174.499
2021-06-29 13:00:00+00:00,35788.33,36399.0,35680.81,36284.31,66921.941
2021-06-29 14:00:00+00:00,36284.3,36422.5,36070.82,36226.72,34355.127
2021-06-29 15:00:00+00:00,36227.1,36350.0,35918.7,36244.89,32452.944
2021-06-29 16:00:00+00:00,36244.88,36544.58,36040.0,36330.0,37903.038
2021-06-29 17:00:00+00:00,36330.01,36623.0,36135.0,36365.54,36730.965
2021-06-29 18:00:00+00:00,36366.38,36389.0,36125.57,36284.46,19732.172
2021-06-29 19:00:00+00:00,36284.46,36396.0,36202.0,36375.62,12364.679
2021-06-29 20:00:00+00:00,36375.89,36478.76,36125.0,36155.5,21237.682
2021-06-29 21:00:00+00:00,36155.5,36319.0,36106.0,36226.33,15281.557
2021-06-29 22:00:00+00:00,36226.32,36260.44,35733.3,35922.05,33542.003
2021-06-29 23:00:00+00:00,35923.42,36116.95,35829.66,35911.26,18169.535
2021-06-30 00:00:00+00:00,35910.64,36089.96,35611.08,35878.59,27111.731
2021-06-30 01:00:00+00:00,35878.6,35950.0,35731.0,35848.34,16593.902
2021-06-30 02:00:00+00:00,35846.95,35911.04,35700.0,35799.58,14036.384
2021-06-30 03:00:00+00:00,35799.58,35799.59,34936.42,35113.99,51988.647
2021-06-30 04:00:00+00:00,35114.0,35285.0,34665.0,34761.78,44770.175
2021-06-30 05:00:00+00:00,34761.78,34947.95,34661.23,34770.75,29180.776
2021-06-30 06:00:00+00:00,34770.99,35142.0,34721.93,35001.43,30221.101
2021-06-30 07:00:00+00:00,35001.43,35272.05,34875.0,35227.67,28106.398
2021-06-30 08:00:00+00:00,35227.68,35328.0,34500.0,34590.63,41645.87
2021-06-30 09:00:00+00:00,34590.63,34743.13,34401.0,34633.62,39491.74
2021-06-30 10:00:00+00:00,34632.94,34856.46,34558.0,34729.01,26747.892
2021-06-30 11:00:00+00:00,34729.01,34986.51,34550.26,34844.89,32557.498
2021-06-30 12:00:00+00:00,34844.9,35002.3,34565.0,34638.91,30857.803
2021-06-30 13:00:00+00:00,34638.9,34747.0,34450.19,34721.29,26579.33
2021-06-30 14:00:00+00:00,34721.3,34814.88,34500.0,34590.05,25774.549
2021-06-30 15:00:00+00:00,34590.05,34628.66,34060.0,34191.68,52091.755
